Mahasiswa,Timestamp,passion,pengetahuan_sebelumnya,tim,skill,motivasi,komunitas_diikuti,Rating [MOCAP],Rating  [WEBONDER],Rating[UINUX],Rating [MAMUD],Rating[ETH0],Rating [UINBUNTU],Rating [FUN JAVA],Rating[GDSC],Rating  [DSE],Rating [ONTAKI],Email Address
Mahasiswa 4,10/13/2023 4:02:22,Linux,",","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Cloud, Linux, Golang",Mengembangkan keahlian dan mendapatkan pengalam dan ilmu,"MOCAP, WEBONDER, DSE",4.0,5.0,4.0,1.0,4.0,5.0,2.0,4.0,3.0,5.0,
Mahasiswa 18,10/13/2023 4:11:43,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, Figma",Ingin mendapatkan lingkungan yang memeiliki mimpi yang sama dan minat yang sama,"MOCAP, DSE",3.0,3.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,
Mahasiswa 17,2/8/2024 16:58:59,Pemograman Mobile,"Pemograman Web, Pemograman Mobile, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, Java, C++, Figma, Ubuntu, Kotlin, Dart, Cloud, Python, Linux, Golang",Ingin menambah ilmu mengenai bidang yang saya tekuni ,"MOCAP, GDSC",3.0,5.0,5.0,1.0,2.0,5.0,4.0,4.0,4.0,2.0,
Mahasiswa 2,2/8/2024 16:44:49,Teknologi Google,"Pemograman Mobile, Pemograman Java, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, C++, C#, Unity, Kotlin",Ingin mempelajari lebih dalam tentang ilmu ilmunya,"WEBONDER, ETH0",2.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,
Mahasiswa 22,10/13/2023 4:02:22,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Robotik, Jaringan, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Figma",Mengembangkan Skill,"MOCAP, WEBONDER, GDSC",4.0,3.0,4.0,5.0,3.0,1.0,1.0,5.0,4.0,1.0,
Mahasiswa 3,2/8/2024 20:08:41,Robotik,"Pemograman Web, Pemograman Java, Multimedia, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript",Ingin menambah pengalaman yang lebih serta dapat mendapatkan relasi yang lebih positif ,ETH0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,
Mahasiswa 26,10/13/2023 7:59:19,Teknologi Google,Pemograman Java,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript",mrnambah ilmu,ONTAKI,4.0,3.0,1.0,1.0,5.0,1.0,4.0,4.0,3.0,2.0,
Mahasiswa 4,2/5/2024 18:44:46,Robotik,UI/UX,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, C++, C#, Figma, Blender, Cloud",Menambah insight baru ,ETH0,3.0,5.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,
Mahasiswa 2,2/6/2024 5:15:00,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java","Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,Karena ingin menambah teman dan mempelajari ilmu baru,"MOCAP, WEBONDER, GDSC",4.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,
Mahasiswa 13,2/10/2024 0:03:56,Pemograman Mobile,"Pemograman Web, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma",Mengembangkan Skill,"ETH0, GDSC",5.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,
Mahasiswa 3,2/5/2024 16:42:49,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Python","Selain mengisi waktu luang, juga ingin menambah pengetahuan tentang teknologi yang terkait dengan komunitas tsb.",GDSC,2.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,
Mahasiswa 30,2/6/2024 17:40:35,Pemograman Web,UI/UX,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, C++, C#, Unity, Kotlin",Ingin menambah pengalaman yang lebih serta dapat mendapatkan relasi yang lebih positif ,"WEBONDER, ETH0, ONTAKI",3.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,
Mahasiswa 9,2/8/2024 16:58:59,Pemograman Web,Robotik,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","Kotlin, Dart, Python",Ingin meningkatkan softskill maupun hardskill yang bisa menunjang karir,"MOCAP, WEBONDER, DSE",5.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,
Mahasiswa 24,2/5/2024 16:37:56,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, C++, C#, Figma, Unity, Blender, Kotlin, Dart, Python, Golang",Ingin menambah wawasan dan menambah ilmu untuk mengembangkan diri,"WEBONDER, MAMUD, ETH0",2.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,
Mahasiswa 29,2/11/2024 12:36:30,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Kotlin, Dart, Python",Untuk membantu saya dalam minat saya di bidang bioinformatika ,"MOCAP, WEBONDER, DSE",3.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,5.0,
Mahasiswa 9,2/8/2024 18:04:59,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Figma",Karena ingin menambah teman dan mempelajari ilmu baru,UINUX,3.0,5.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,3.0,
Mahasiswa 28,2/5/2024 17:25:54,Linux,",",Tim Kecil: Lebih ke proyek-proyek tertentu,"Dart, Python",Untuk belajar lebih jauh mengenai materi yang d berikan,MAMUD,3.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,
Mahasiswa 14,2/7/2024 14:55:06,UI/UX,Pemograman Web,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, Python",Untuk mendapatkan lebih banyak ilmu dari komunitas tersebut sehingga dapat menambah pengetahuan dalam bidang yang saya minati,"MOCAP, WEBONDER, GDSC",4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,
Mahasiswa 33,2/8/2024 16:44:49,Data Science,Robotik,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Cloud",Menambah insight baru ,ONTAKI,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,5.0,
Mahasiswa 17,2/5/2024 20:03:51,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Cloud",Ingin menambah ilmu,"WEBONDER, ETH0, ONTAKI",4.0,2.0,4.0,1.0,5.0,3.0,4.0,5.0,3.0,2.0,
Mahasiswa 35,2/5/2024 16:36:36,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,"Untuk menambah pengalaman dan relasi, menambah ilmu","MOCAP, WEBONDER, MAMUD, ETH0",4.0,3.0,2.0,5.0,2.0,5.0,2.0,4.0,3.0,4.0,
Mahasiswa 43,2/6/2024 0:58:22,Linux,Pemograman Web,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Kotlin, Dart, Python",Belajar lebih dalam,UINUX,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,
Mahasiswa 13,2/8/2024 18:04:59,Robotik,"Data Science, Teknologi Google","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, CSS, Javascript, Unity, Ubuntu, Dart, Cloud, Python, Golang",Mempelajari ilmu baru di luar perkuliahan dengan teman-teman,"MOCAP, WEBONDER, GDSC",4.0,5.0,2.0,5.0,2.0,3.0,2.0,4.0,3.0,2.0,
Mahasiswa 11,2/6/2024 13:14:22,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, C++, C#, Unity, Kotlin",Ingin mendapatkan lingkungan yang memeiliki mimpi yang sama dan minat yang sama,FUN JAVA,3.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,
Mahasiswa 32,2/8/2024 18:04:59,Robotik,Robotik,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, Figma",Menambah pengalaman ,"MOCAP, WEBONDER, DSE",3.0,5.0,1.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,
Mahasiswa 22,2/5/2024 16:42:03,Jaringan,"Pemograman Mobile, Teknologi Google, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Unity, Ubuntu",Untuk mendapatkan pengalaman baru serta belajar tanggung jawab,"MOCAP, MAMUD, GDSC, ONTAKI",2.0,4.0,1.0,5.0,3.0,1.0,1.0,4.0,4.0,4.0,
Mahasiswa 23,2/8/2024 16:44:49,Multimedia,Pemograman Mobile,Tim Kecil: Lebih ke proyek-proyek tertentu,"HTML, CSS, Java, C++, C#, Blender",Pengetahuan dalam dunia kerja dan informasi penting (Loker atau Pengetahuan) terbaru di bidang yang diminati,"MOCAP, WEBONDER, DSE",3.0,3.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,
Mahasiswa 30,10/13/2023 4:02:22,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Java, C++, C#, Unity, Ubuntu, Blender, Dart, Python, Linux",menambah relasi,GDSC,2.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,3.0,5.0,
Mahasiswa 25,2/5/2024 16:59:16,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma",Dengan kemajuan teknologi pemahaman akan pengetahuan tersebut sangat penting di kehidupan ini,MAMUD,3.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,
Mahasiswa 28,2/6/2024 17:40:35,Linux,Pemograman Java,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Ubuntu, Kotlin, Dart, Cloud, Linux, Golang","Menambahkan cerita dalam pengalaman hidup, menambah relasi pertemanan ","WEBONDER, ETH0, ONTAKI",1.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,
Mahasiswa 22,2/6/2024 0:58:22,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Teknologi Google, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"HTML, CSS, Figma, Blender, Python",Nambahin relasi,"MOCAP, MAMUD, GDSC, ONTAKI",4.0,5.0,2.0,5.0,2.0,3.0,1.0,5.0,2.0,5.0,
Mahasiswa 14,2/5/2024 16:59:16,Pemograman Mobile,Multimedia,"Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,menambah relasi,"MOCAP, WEBONDER",3.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,
Mahasiswa 18,2/5/2024 16:42:03,Teknologi Google,Data Science,Tim Kecil: Lebih ke proyek-proyek tertentu,"Java, C++, C#, Unity, Kotlin",Dengan kemajuan teknologi pemahaman akan pengetahuan tersebut sangat penting di kehidupan ini,"MOCAP, DSE",4.0,3.0,5.0,1.0,2.0,1.0,4.0,5.0,4.0,5.0,
Mahasiswa 32,2/6/2024 0:58:22,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,Python,Ingin menambah ilmu mengenai bidang yang saya tekuni ,ETH0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,4.0,4.0,4.0,
Mahasiswa 20,2/5/2024 16:58:01,Data Science,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Java, C++, Figma, Ubuntu, Kotlin, Dart, Cloud, Python, Linux, Golang",Mengembangkan skill dan menambah wawasan,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,
Mahasiswa 23,2/5/2024 16:49:35,Pemograman Mobile,Jaringan,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, C++, C#, Figma, Unity, Ubuntu, Blender, Kotlin, Dart, Python, Linux",Belajar lebih dalam,"WEBONDER, GDSC",4.0,5.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,3.0,
Mahasiswa 25,2/8/2024 20:08:41,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Python, Golang",Ingin menambah ilmu yang sebelumnya sudah saya dapat di sma,"ETH0, GDSC",4.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,
Mahasiswa 1,2/5/2024 16:43:26,Multimedia,",",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma, Ubuntu, Kotlin, Dart, Cloud, Linux, Golang","Pengalaman ,relasi ,dan pengetahuan","MOCAP, MAMUD, GDSC, ONTAKI",3.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,2.0,
Mahasiswa 17,2/13/2024 10:19:41,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, CSS, Javascript, Unity, Ubuntu, Dart, Cloud, Python, Golang","Pengalaman ,relasi ,dan pengetahuan","MOCAP, MAMUD, GDSC, ONTAKI",3.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,
Mahasiswa 48,2/5/2024 19:30:29,Multimedia,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Dart, Python",Menambah teman,GDSC,5.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,
Mahasiswa 6,2/8/2024 16:44:49,UI/UX,"Pemograman Web, Pemograman Java, Multimedia, Data Science, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Figma, Blender, Python",Nambahin relasi,"MOCAP, WEBONDER, MAMUD, ETH0",4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,
Mahasiswa 47,2/6/2024 10:22:22,Robotik,"Pemograman Web, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Unity, Ubuntu",Menambah pengalaman dan mendalami skill yang ingin diasah,"MOCAP, WEBONDER, GDSC",3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,
Mahasiswa 15,2/6/2024 12:54:26,Jaringan,UI/UX,Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, C++, C#, Figma, Blender, Cloud",menambah relasi,"WEBONDER, GDSC",4.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,2.0,
Mahasiswa 40,2/5/2024 16:42:03,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Java, C++, C#, Blender",Menambah pengalaman ,"ETH0, GDSC, DSE",3.0,2.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,4.0,
Mahasiswa 37,2/5/2024 20:41:27,Teknologi Google,"Pemograman Mobile, Teknologi Google, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma",Mempelajari ilmu baru di luar perkuliahan dengan teman-teman,"MOCAP, WEBONDER",3.0,5.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,
Mahasiswa 25,2/5/2024 16:41:25,Teknologi Google,UI/UX,Tim Kecil: Lebih ke proyek-proyek tertentu,"Dart, Python",Menambah teman,"ETH0, GDSC",2.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,
Mahasiswa 5,2/6/2024 0:58:22,Pemograman Web,"Pemograman Web, Pemograman Java, Multimedia, Data Science, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,Menambah relasi untuk membantu memudahkan memahami tugas kuliah,ETH0,4.0,5.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,
Mahasiswa 10,2/5/2024 16:42:03,Teknologi Google,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, C++, C#, Figma, Unity, Ubuntu, Blender, Kotlin, Dart, Python, Linux","Untuk menambah pengalaman dan relasi, menambah ilmu","ETH0, GDSC, DSE",4.0,3.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,
Mahasiswa 10,2/6/2024 17:40:35,Pemograman Mobile,"Pemograman Mobile, Pemograman Java, Teknologi Google, Linux, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript",Mengembangkan keahlian dan mendapatkan pengalam dan ilmu,"WEBONDER, ETH0, ONTAKI",5.0,5.0,1.0,4.0,4.0,1.0,3.0,5.0,4.0,5.0,
Mahasiswa 34,2/7/2024 14:55:06,Teknologi Google,Pemograman Java,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Figma, Kotlin, Dart, Cloud, Python, Golang","Bergabung dalam komunitas akademik di TI UIN memberikan kesempatan untuk mendapatkan pengetahuan mendalam tentang bidang Teknologi Informasi. Melalui mata kuliah, seminar, dan proyek kolaboratif, anggota komunitas dapat terus belajar dan mengembangkan keterampilan mereka","MOCAP, GDSC",3.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,
Mahasiswa 3,2/5/2024 17:20:34,Pemograman Mobile,Pemograman Mobile,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Figma","Dengan mengikuti komunitas, bisa membantu saya mengembangkan skill","ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,5.0,4.0,3.0,4.0,1.0,2.0,5.0,4.0,5.0,
Mahasiswa 25,2/5/2024 20:41:27,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Robotik, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, Figma",Belajar lebih dalam,"WEBONDER, ETH0",3.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,5.0,
Mahasiswa 42,2/6/2024 10:22:22,Teknologi Google,"Pemograman Web, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll",HTML,Mencari ilmu baru,"ETH0, GDSC",4.0,5.0,2.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,
Mahasiswa 22,2/5/2024 16:37:56,Linux,Pemograman Java,"Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Figma, Python",Ingin menambah ilmu mengenai bidang yang saya tekuni ,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,
Mahasiswa 29,2/5/2024 16:43:26,Pemograman Web,"Pemograman Web, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"Javascript, Figma",Menambah insight baru ,"MOCAP, MAMUD, GDSC, ONTAKI",3.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,
Mahasiswa 26,2/8/2024 18:04:59,Linux,"Pemograman Web, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Figma",menambah relasi,"WEBONDER, MAMUD, ETH0",4.0,5.0,4.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,
Mahasiswa 16,2/5/2024 20:03:51,Data Science,"Pemograman Mobile, Pemograman Java, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"Figma, Ubuntu, Dart, Python",Memperluas networking,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,
Mahasiswa 44,2/8/2024 17:22:54,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Java, C++, C#, Unity, Ubuntu, Blender, Dart, Python, Linux",Untuk belajar lebih jauh mengenai materi yang d berikan,FUN JAVA,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,
Mahasiswa 33,2/5/2024 16:53:20,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, Cloud","Untuk menambah pengalaman dan relasi, menambah ilmu","MOCAP, WEBONDER, MAMUD, ETH0",3.0,5.0,2.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,
Mahasiswa 24,2/5/2024 16:36:36,Jaringan,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Jaringan, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Cloud, Python",Ingin mendapatkan lingkungan yang memeiliki mimpi yang sama dan minat yang sama,"MOCAP, MAMUD, GDSC, ONTAKI",3.0,4.0,2.0,1.0,2.0,3.0,1.0,5.0,3.0,5.0,
Mahasiswa 22,10/13/2023 6:49:42,UI/UX,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan, Teknologi Google, Linux, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll",Python,Menambah relasi & pengetahuan di bidang terkait ,"ETH0, UINBUNTU, FUN JAVA, GDSC, DSE, ONTAKI",3.0,4.0,4.0,4.0,5.0,3.0,2.0,5.0,3.0,2.0,
Mahasiswa 2,2/6/2024 5:15:00,UI/UX,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Java, Dart",Menambah pengalaman dan mendalami skill yang ingin diasah,"MOCAP, GDSC, DSE, ONTAKI",1.0,3.0,5.0,3.0,5.0,1.0,2.0,5.0,3.0,2.0,
Mahasiswa 38,2/5/2024 17:02:37,Linux,"Pemograman Web, Pemograman Mobile, Pemograman Java, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Java, Kotlin, Dart, Python",Dengan kemajuan teknologi pemahaman akan pengetahuan tersebut sangat penting di kehidupan ini,"MOCAP, WEBONDER",2.0,4.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,5.0,
Mahasiswa 48,2/5/2024 16:43:26,Multimedia,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Jaringan",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, Python",Mencari peluang untuk memperlebar koneksi ke developer handal,"WEBONDER, ETH0, ONTAKI",3.0,3.0,2.0,5.0,3.0,2.0,2.0,5.0,4.0,5.0,
Mahasiswa 26,2/5/2024 16:53:20,Linux,"Pemograman Web, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript",Untuk mendapatkan pengalaman baru serta belajar tanggung jawab,DSE,4.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,5.0,
Mahasiswa 44,2/9/2024 10:24:07,Jaringan,"Pemograman Web, Data Science, UI/UX","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Javascript, Figma, Cloud",Untuk mendapatkan pengalaman baru serta belajar tanggung jawab,"MOCAP, GDSC, DSE, ONTAKI",4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,
Mahasiswa 45,2/5/2024 19:36:15,Robotik,"Pemograman Web, Data Science","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, CSS, Figma, Blender, Python, Linux",Belajar lebih dalam,"WEBONDER, MAMUD, ETH0",3.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,3.0,
Mahasiswa 41,2/5/2024 17:25:54,Pemograman Mobile,",","Tim Besar: membuat kegiatan seperti seminar, workshop dll","Java, Figma",Mencari ilmu baru,"MOCAP, DSE",1.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,
Mahasiswa 35,2/8/2024 17:22:54,Data Science,"Pemograman Web, Pemograman Mobile, Data Science","Tim Besar: membuat kegiatan seperti seminar, workshop dll","HTML, CSS, Figma, Python",Untuk memperdalam keilmuan di bidang IT ,"MOCAP, WEBONDER, GDSC",2.0,3.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0,5.0,
Mahasiswa 37,2/6/2024 17:40:35,Pemograman Mobile,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, Robotik, Jaringan, Linux",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, Figma",Mengembangkan keahlian dan mendapatkan pengalam dan ilmu,"MOCAP, DSE",4.0,4.0,2.0,1.0,3.0,1.0,2.0,5.0,4.0,5.0,
Mahasiswa 6,2/6/2024 10:22:22,Robotik,"Pemograman Web, Pemograman Mobile, Pemograman Java","Tim Besar: membuat kegiatan seperti seminar, workshop dll","PHP, HTML, Figma",mrnambah ilmu,ONTAKI,3.0,2.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,2.0,
Mahasiswa 9,2/5/2024 17:33:27,Robotik,"Pemograman Web, Data Science",Tim Kecil: Lebih ke proyek-proyek tertentu,"Dart, Python",Mencari ilmu baru,"MOCAP, GDSC",2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,
Mahasiswa 27,2/5/2024 19:36:15,Pemograman Web,"Pemograman Web, Pemograman Mobile, Pemograman Java, Multimedia, Data Science, UI/UX",Tim Kecil: Lebih ke proyek-proyek tertentu,"PHP, HTML, CSS, Javascript, Figma",Mempelajari ilmu baru di luar perkuliahan dengan teman-teman,"MOCAP, MAMUD, GDSC, ONTAKI",3.0,5.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,5.0,
